name,bundleId,genre
RiseSleep,com.risesci.nyx,1
Canary,Mailroom.Canary-iOS,1
Endel,com.endel.endel,1
Spark,com.readdle.smartemail,1
X,com.atebits.Tweetie2,1
Youtube,com.google.ios.youtube,1
Alltrails,com.alltrails.AllTrails,1
Facebook,com.facebook.Facebook,1
Flo,org.iggymedia.periodtracker,1
Imagineart,com.vyro.Imagine,1
Leto,biser.stories,1
Myfitnesspal,com.myfitnesspal.mfp,1
PhotifyAi,com.apps.PhotifyAI,1
Polarr,co.polarr.ppe,1
PsExpress,com.adobe.PSMobile,1
Twitch,tv.twitch,1
B612,com.linecorp.b612,1
Speedtest,com.ookla.speedtest,1
CodeRunner,com.markodevcic.code-runner,1
Foreflight,com.foreflight.ForeFlightMobile,1
Kinemaster,com.kinemaster.kios,1
Headway,com.headway.books,1
Clime,com.apalonapps.radarfree,1
Instagram,com.burbn.instagram,1
Ling,com.sanfanstudios.universal,1
Minutes,ventures.slam.minutes,1
Calm,com.calm.calmapp,1
Freeyourmusic,io.stampapp.Stamp,1
Notability,com.gingerlabs.Notability,1
Coinsnap,com.coinidentifier.identifycoins,1
Bxng,com.app.BXNGApp,1
GentlerStreak,app.gentler.activity,1
Windy.app,co.windyapp.Windy,1
VSCO_v403.0.0_Subscription_Unlocked_blatant,co.visualsupply.cam,1
Widgy,boomer.Smart-Video,1
Mojo,archery.storify,1
OfflineMusic,com.offlinemusic,1
Plantapp,com.scaleup.plantid,1
TranslateNow,solutions.wzp.translator,1
VSCO,co.visualsupply.cam,1
Windyapp,co.windyapp.Windy,1
Beelinguapp,com.beelinguapp.beelinguapp,1
Epik,com.snowcorp.epik,1
Lumafusion,com.luma-touch.LumaFusion,1
Snow,com.campmobile.snow,1
Unzip,com.cuilingshi.fileextract,1
Surge,com.nssurge.inc.surge-ios,1
CarSimulator2,com.oppanagames.car.simulator,2
Cookingdiary,com.mytonallc.cookingdiary,2
Eatventure,com.hwqgrhhjfd.idlefastfood,2
IdleBankTycoon,com.luckyskeletonstudios.idlebanktycoon,2
IdleNinjaOnline,com.puzzlemonsters.growninja,2
MergeMayor,games.starberry.idle-village,2
Sniper3d,com.fungames.sniper3d,2
Coconote,com.bbauman.Scripty,1
WABusiness,net.whatsapp.WhatsAppSMB,1
PowerThesaurus,org.powerthesaurus.powerthesaurus,1
AngryBirds2,com.rovio.baba,2
Gladiatorheroes,com.generagames.gladiatorheroes,2
IdleTownMaster,com.codigames.idle.town.master,2
Jujutsuphanpara,com.bilibilihk.jujutsuphanparaios,2
MeowMeowWarriors,co.imba.kawaii.mmw,2
Mergedragons.,com.gramgames.mergedragons,2
ShadowFight3,com.nekki.shadowfight3,2
Messenger,com.facebook.Messenger,1
Bazaart,co.bazaart.app,1
Genie,co.appnation.geniechat,1
Itranslate,com.outerspaceapps.itranslate,1
Photoleap,com.lightricks.Enlight-Editor,1
Videoleap,com.lightricks.Enlight-Video,1
Documents,com.readdle.ReaddleDocsIPad,1
Acrobat,com.adobe.Adobe-Reader,1
AiChatbot,com.aichatbot.assistant,1
Aloha,com.alohabrowser.alohabrowser,1
Collanote,net.quochuywdm.collanote496,1
Fltr,com.feelty,1
Focos,com.focos,1
MagicTiles3,com.amanotes.magictiles,2
Mimo,com.getmimo.mimo,1
MuslimPro,com.bitsmedia.muslimpro,1
OpusVpn,com.biel.opus.vpn,1
Peakvisor,ru.routes.peakvisor,1
Photoapp,com.scaleup.photofx,1
Picsart,com.picsart.studio,1
Picturethis,cn.danatech.xingseus,1
Pigment,com.pixite.pigment,1
Rest,com.evolve.helm,1
Simplypiano,com.joytunes.asla,1
Snorelab,com.revivasoftworks.Snore-Lab,1
Splice,com.path36.SpliceFree,1
SwiftyCompiler,com.hassantaleb.SwiftCompiler,1
Ticktick,com.TickTick.task,1
Travelboast,com.travelboast.travelboast,1
Truecaller,com.truesoftware.TrueCallerOther,1
WeatherLive,com.apalonapps.wlf,1
Yazio,com.yazio.ios.YAZIO,1
